cid,cluster_id,description
937,1,Middle of nowhere but seems necessary.
940,2,Middle of nowhere but seems necessary.
550,3,Could be moved N to junction.
952,4,Should be removed.
832,7,Should be removed.
951,8,Middle of nowhere but seems necessary.
265,10,Could be moved N to junction.
1223,11,Middle of nowhere but seems necessary.
928,12,Should be removed.
513,13,Could be moved S to junction.
1073,14,Should be removed.
278,15,Middle of nowhere but seems necessary.
260,17,Middle of nowhere but seems necessary.
252,19,Middle of nowhere but seems necessary.
1043,21,Could be moved W to junction.
778,22,Could be moved E to junction.
22,23,Could be moved E to junction.
372,24,Could be moved S to junction.
990,26,Could be consolidated with neighbors.
1089,27,Middle of nowhere but seems necessary.
1078,28,Middle of nowhere but seems necessary.
292,29,Should be removed.
1518,30,Could be moved N to junction.
31,31,Could be moved N to junction.
1273,32,Middle of nowhere but seems necessary.
1167,34,Middle of nowhere but seems necessary.
1041,38,Middle of nowhere but seems necessary.
635,39,Middle of nowhere but seems necessary.
996,41,Could be moved E to junction.
1392,42,Middle of nowhere but seems necessary.
1216,43,Could be moved S to junction.
780,44,Could be consolidated with neighbors.
614,48,Could be moved N to junction.
991,49,Could be consolidated with neighbors.